ministry,unitCode,legacyReference,name,parentUnitCode,unitType,department,isVirtual
HOME,South Zone,2042410,South Zone,East Godavari Dist,SDPO,L&O,FALSE
HOME,Eluru SDPO,2018400,Eluru SDPO,East Godavari Dist,SDPO,L&O,FALSE
HOME,Jangareddygudem SDPO,2018401,Jangareddygudem SDPO,Eluru Dist,SDPO,L&O,FALSE
HOME,Nuzvid SDPO,2026404,Nuzvid SDPO,Eluru Dist,SDPO,L&O,FALSE
HOME,Polavaram SDPO,2018404,Polavaram SDPO,Eluru Dist,SDPO,L&O,FALSE
HOME,East Sub Division,2043401,East Sub Division,Eluru Dist,SDPO,L&O,FALSE
HOME,North Sub Division,2043403,North Sub Division,Guntur Dist,SDPO,L&O,FALSE
HOME,South Sub Division,2043404,South Sub Division,Guntur Dist,SDPO,L&O,FALSE
HOME,Tenali SDPO,2019406,Tenali SDPO,Guntur Dist,SDPO,L&O,FALSE
HOME,Thulluru SDPO,2019407,Thulluru SDPO,Guntur Dist,SDPO,L&O,FALSE
HOME,West Sub Division,2043402,West Sub Division,Guntur Dist,SDPO,L&O,FALSE
HOME,Kakinada Crimes,2017411,Kakinada Crimes,Guntur Dist,SDPO,L&O,FALSE
HOME,Kakinada SDPO,2017400,Kakinada SDPO,Kakinada Dist,SDPO,L&O,FALSE
HOME,Peddapuram SDPO,2017402,Peddapuram SDPO,Kakinada Dist,SDPO,L&O,FALSE
HOME,Avanigadda SDPO,2026400,Avanigadda SDPO,Kakinada Dist,SDPO,L&O,FALSE
HOME,Bandar SDPO,2026401,Bandar SDPO,Krishna Dist,SDPO,L&O,FALSE
HOME,Gannavaram SDPO,2026406,Gannavaram SDPO,Krishna Dist,SDPO,L&O,FALSE
HOME,Gudivada SDPO,2026402,Gudivada SDPO,Krishna Dist,SDPO,L&O,FALSE
HOME,Adoni SDPO,2027401,Adoni SDPO,Krishna Dist,SDPO,L&O,FALSE
HOME,Kurnool SDPO,2027400,Kurnool SDPO,Kurnool Dist,SDPO,L&O,FALSE
HOME,Pathikonda SDPO,2027406,Pathikonda SDPO,Kurnool Dist,SDPO,L&O,FALSE
HOME,Yemmiganur SDPO,2027407,Yemmiganur SDPO,Kurnool Dist,SDPO,L&O,FALSE
HOME,Allagadda SDPO,2027402,Allagadda SDPO,Kurnool Dist,SDPO,L&O,FALSE
HOME,Atmakur SDPO(NDL),2027404,Atmakur SDPO(NDL),Nandyal Dist,SDPO,L&O,FALSE
HOME,Dhone SDPO,2027405,Dhone SDPO,Nandyal Dist,SDPO,L&O,FALSE
HOME,Nandyal SDPO,2027403,Nandyal SDPO,Nandyal Dist,SDPO,L&O,FALSE
HOME,Gurazala SDPO,2019403,Gurazala SDPO,Nandyal Dist,SDPO,L&O,FALSE
HOME,Narsaraopet SDPO,2019404,Narsaraopet SDPO,Palnadu Dist,SDPO,L&O,FALSE
HOME,Sattenapalli SDPO,2019405,Sattenapalli SDPO,Palnadu Dist,SDPO,L&O,FALSE
HOME,Palakonda SDPO,2034402,Palakonda SDPO,Palnadu Dist,SDPO,L&O,FALSE
HOME,Parvathipuram SDPO,2037401,Parvathipuram SDPO,Parvathipuram Manyam Dist,SDPO,L&O,FALSE
HOME,Darsi SDPO,2033401,Darsi SDPO,Parvathipuram Manyam Dist,SDPO,L&O,FALSE
HOME,Kanigiri SDPO,2033405,Kanigiri SDPO,Prakasam Dist,SDPO,L&O,FALSE
HOME,Markapur SDPO,2033403,Markapur SDPO,Markapuram Dist,SDPO,L&O,FALSE
HOME,Ongole SDPO,2033404,Ongole SDPO,Markapuram Dist,SDPO,L&O,FALSE
HOME,Kandukur SDPO,2033402,Kandukur SDPO,Prakasam Dist,SDPO,L&O,FALSE
HOME,Kavali SDPO,2031403,Kavali SDPO,Prakasam Dist,SDPO,L&O,FALSE
HOME,Nellore Rural SDPO,2031401,Nellore Rural SDPO,Sri Potti Sriramulu Nellore DIst,SDPO,L&O,FALSE
HOME,Nellore Town SDPO,2031400,Nellore Town SDPO,Sri Potti Sriramulu Nellore DIst,SDPO,L&O,FALSE
HOME,Dharmavaram SDPO,2012401,Dharmavaram SDPO,Sri Potti Sriramulu Nellore DIst,SDPO,L&O,FALSE
HOME,Hindupur SDPO,2064400,Hindupur SDPO,Sri Sathya Sai Dist,SDPO,L&O,FALSE
HOME,Kadiri SDPO,2012403,Kadiri SDPO,Sri Sathya Sai Dist,SDPO,L&O,FALSE
HOME,Penukonda SDPO,2012404,Penukonda SDPO,Sri Sathya Sai Dist,SDPO,L&O,FALSE
HOME,Puttaparthi SDPO,2012405,Puttaparthi SDPO,Sri Sathya Sai Dist,SDPO,L&O,FALSE
HOME,Kasibugga SDPO,2034401,Kasibugga SDPO,Sri Sathya Sai Dist,SDPO,L&O,FALSE
HOME,Srikakulam SDPO,2034400,Srikakulam SDPO,Srikakulam Dist,SDPO,L&O,FALSE
HOME,Tekkali SDPO,2034403,Tekkali SDPO,Srikakulam Dist,SDPO,L&O,FALSE
